text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is 493306 rupees and I require Rs 1509573.,Yes,493306,Education,NA,1764564,1509573,Postgraduate,MCA,medical,Yes
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is 1.0 lakhs and I require 12.9 lakhs.,Yes,103040,Education,NA,1294897,1294897,12th,BCA,technical,Yes
I am from SC category and want financial help for my transport. The total project cost is ₹167666 and I need ₹75972 as loan. My annual income is ₹101841.,Yes,101841,Business,transport,167666,75972,NA,NA,NA,NA
I belong to the SC category. I want an education loan for pharmacy. My annual family income is ₹293596 and I need around 69145 rupees.,Yes,293596,Education,NA,3077885,69145,Graduate,pharmacy,medical,Yes
"I need a loan to study MBA. I am an SC student, my income is 1.2 lakhs, and the course fee is 34.4 lakh.",Yes,118990,Education,NA,3435812,529693,Postgraduate,MBA,professional,Yes
I am an SC student and my family income is 320358 rupees. I want to study BCA. My course fee is Rs 3560676 and I need a loan of Rs 2596120.,Yes,320358,Education,NA,3560676,2596120,Graduate,BCA,technical,Yes
My family earns around 449946 rupees per year. I belong to the SC community and want to start a fisheries. I need around Rs 353852.,Yes,449946,Business,fisheries,422078,353852,NA,NA,NA,NA
"My family earns 4.4 lakhs per year. I am an SC beneficiary and want to pursue law, which is a professional course. The fee is 37.2 lakhs.",Yes,441949,Education,NA,3722749,1094015,Graduate,law,professional,Yes
I belong to the SC category. I want an education loan for MCA. My annual family income is 2.4 lakhs and I need around Rs 2369111.,Yes,241562,Education,NA,3997226,2369111,Graduate,MCA,professional,Yes
I want to open a transport. I am an SC beneficiary and my yearly family income is 3.2 lakh. I require about 4.0 lakh.,Yes,321753,Business,transport,445739,404047,NA,NA,NA,NA
I am an SC beneficiary. My family income is 3.3 lakhs. I want to start a grocery shop business and need a loan of 4.1 lakh.,Yes,333402,Business,grocery shop,463843,409540,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my law course. My family income is 2.4 lakhs and I require 351164 rupees.,Yes,235277,Education,NA,351164,351164,Graduate,law,technical,Yes
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is Rs 458551 and I require Rs 2221189.,Yes,458551,Education,NA,2221189,2221189,Graduate,MCA,management,Yes
"I need a loan to study medical. I am an SC student, my income is 361902 rupees, and the course fee is 2978575 rupees.",Yes,361902,Education,NA,2978575,93131,Graduate,medical,management,Yes
My family earns around Rs 188609 per year. I belong to the SC community and want to start a grocery shop. I need around 2.6 lakh.,Yes,188609,Business,grocery shop,310331,260207,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is 4.9 lakh and I require Rs 606709.,Yes,494301,Education,NA,1624701,606709,Graduate,engineering,medical,Yes
I belong to Scheduled Caste and want to start a small fisheries. My income is ₹361823 and the project will cost about Rs 354932.,Yes,361823,Business,fisheries,354932,272168,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a food business and need 384998 rupees.,No,104773,Business,food business,434998,384998,NA,NA,NA,NA
"My family earns ₹141749 per year. I am an SC beneficiary and want to pursue pharmacy, which is a management course. The fee is 1072124 rupees.",Yes,141749,Education,NA,1072124,1072124,Postgraduate,pharmacy,management,Yes
I am not an SC beneficiary. I want to start a repair shop and need 2.2 lakh.,No,419805,Business,repair shop,274713,224713,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a grocery shop and need Rs 214585.,No,284466,Business,grocery shop,264585,214585,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹400977. I want to start a transport business and need a loan of Rs 252116.,Yes,400977,Business,transport,335274,252116,NA,NA,NA,NA
"I need a loan to study engineering. I am an SC student, my income is Rs 369950, and the course fee is 21.9 lakhs.",Yes,369950,Education,NA,2191482,795484,Graduate,engineering,medical,Yes
My category is not SC. I want to start a poultry business.,No,266087,Business,poultry,260844,210844,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my law course. My family income is 3.0 lakhs and I require 1367144 rupees.,Yes,303224,Education,NA,1367144,1367144,Postgraduate,law,medical,Yes
My category is not SC. I want to start a fisheries business.,No,127906,Business,fisheries,318300,268300,NA,NA,NA,NA
I am from SC category and want financial help for my transport. The total project cost is 2.7 lakhs and I need 169309 rupees as loan. My annual income is 311060 rupees.,Yes,311060,Business,transport,268005,169309,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹459252 and I need a loan for a tailoring.,No,459252,Business,tailoring,228163,178163,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BCA. My annual family income is 2.0 lakh and I need around Rs 383431.,Yes,203825,Education,NA,383431,383431,Graduate,BCA,medical,Yes
My category is not SC. I want to start a food business business.,No,226142,Business,food business,314329,264329,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small poultry. My income is 136922 rupees and the project will cost about Rs 95205.,Yes,136922,Business,poultry,95205,58683,NA,NA,NA,NA
I am from SC category and want financial help for my computer centre. The total project cost is 3.4 lakhs and I need 3.1 lakh as loan. My annual income is 4.9 lakhs.,Yes,487012,Business,computer centre,335653,310212,NA,NA,NA,NA
I am an SC student and my family income is Rs 436385. I want to study BCA. My course fee is 21.0 lakhs and I need a loan of 8.9 lakh.,Yes,436385,Education,NA,2100187,888701,12th,BCA,medical,Yes
I belong to the SC category. I want an education loan for BTech. My annual family income is Rs 137192 and I need around 9.0 lakhs.,Yes,137192,Education,NA,903510,903510,12th,BTech,technical,Yes
I am not an SC beneficiary. I want to start a transport and need 246483 rupees.,No,470665,Business,transport,296483,246483,NA,NA,NA,NA
My family earns around ₹455181 per year. I belong to the SC community and want to start a transport. I need around 1.5 lakh.,Yes,455181,Business,transport,229616,146774,NA,NA,NA,NA
I am an SC student and my family income is 4.4 lakh. I want to study BCA. My course fee is 35.6 lakh and I need a loan of Rs 2020273.,Yes,441034,Education,NA,3564644,2020273,Graduate,BCA,professional,Yes
I belong to Scheduled Caste and want to start a small computer centre. My income is 224808 rupees and the project will cost about 392517 rupees.,Yes,224808,Business,computer centre,392517,322466,NA,NA,NA,NA
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is Rs 435988. I require about 1.2 lakhs.,Yes,435988,Business,grocery shop,209093,115356,NA,NA,NA,NA
"My family earns 318499 rupees per year. I am an SC beneficiary and want to pursue medical, which is a medical course. The fee is ₹1020495.",Yes,318499,Education,NA,1020495,1020495,Postgraduate,medical,medical,Yes
I belong to the SC category. I want an education loan for BCA. My annual family income is 4.4 lakh and I need around 1473454 rupees.,Yes,436842,Education,NA,1473454,1473454,12th,BCA,technical,Yes
I want to open a food business. I am an SC beneficiary and my yearly family income is ₹149908. I require about 293606 rupees.,Yes,149908,Business,food business,391106,293606,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a food business and need Rs 339508.,No,233569,Business,food business,389508,339508,NA,NA,NA,NA
I want to open a computer centre. I am an SC beneficiary and my yearly family income is Rs 303068. I require about ₹143459.,Yes,303068,Business,computer centre,177607,143459,NA,NA,NA,NA
I do not belong to the SC category. My family income is 4.0 lakhs and I need a loan for a repair shop.,No,400799,Business,repair shop,373261,323261,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹335972. I want to start a fisheries business and need a loan of ₹165040.,Yes,335972,Business,fisheries,210814,165040,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my medical course. My family income is 219199 rupees and I require 29.9 lakhs.,Yes,219199,Education,NA,2991332,2991332,12th,medical,management,Yes
I am an SC beneficiary. My family income is 207305 rupees. I want to start a transport business and need a loan of Rs 78500.,Yes,207305,Business,transport,178441,78500,NA,NA,NA,NA
I am from SC category and want financial help for my grocery shop. The total project cost is ₹198298 and I need 154820 rupees as loan. My annual income is 463405 rupees.,Yes,463405,Business,grocery shop,198298,154820,NA,NA,NA,NA
I am from SC category and want financial help for my small manufacturing. The total project cost is Rs 433881 and I need 372634 rupees as loan. My annual income is 236381 rupees.,Yes,236381,Business,small manufacturing,433881,372634,NA,NA,NA,NA
I am an SC beneficiary. My family income is 3.5 lakhs. I want to start a transport business and need a loan of 3.7 lakhs.,Yes,353224,Business,transport,458166,372822,NA,NA,NA,NA
I do not belong to the SC category. My family income is 1.9 lakh and I need a loan for a repair shop.,No,191704,Business,repair shop,144497,94497,NA,NA,NA,NA
I belong to the SC category. I want an education loan for MCA. My annual family income is ₹304345 and I need around Rs 2443346.,Yes,304345,Education,NA,2443346,2443346,Graduate,MCA,medical,Yes
I am not from Scheduled Caste and want financial assistance for my computer centre.,No,491941,Business,computer centre,203824,153824,NA,NA,NA,NA
My family earns around Rs 180286 per year. I belong to the SC community and want to start a computer centre. I need around ₹198066.,Yes,180286,Business,computer centre,228371,198066,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my law course. My family income is 4.0 lakhs and I require 95043 rupees.,Yes,395653,Education,NA,2076292,95043,12th,law,professional,Yes
I belong to Scheduled Caste and want to start a small transport. My income is ₹310235 and the project will cost about ₹464495.,Yes,310235,Business,transport,464495,388777,NA,NA,NA,NA
I do not belong to the SC category. My family income is 415010 rupees and I need a loan for a service business.,No,415010,Business,service business,284767,234767,NA,NA,NA,NA
My family earns around 1.0 lakhs per year. I belong to the SC community and want to start a fisheries. I need around 2.7 lakhs.,Yes,101049,Business,fisheries,294518,274451,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 417182. I want to start a grocery shop business and need a loan of 4.1 lakhs.,Yes,417182,Business,grocery shop,432891,409438,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small small manufacturing. My income is Rs 157565 and the project will cost about 462329 rupees.,Yes,157565,Business,small manufacturing,462329,364755,NA,NA,NA,NA
"My family earns 119352 rupees per year. I am an SC beneficiary and want to pursue MBA, which is a medical course. The fee is Rs 411875.",Yes,119352,Education,NA,411875,411875,Postgraduate,MBA,medical,Yes
"I need a loan to study MCA. I am an SC student, my income is 222440 rupees, and the course fee is 5.6 lakh.",Yes,222440,Education,NA,559015,559015,Postgraduate,MCA,management,Yes
I belong to Scheduled Caste and want to start a small poultry. My income is ₹174815 and the project will cost about 5.1 lakhs.,Yes,174815,Business,poultry,505135,413250,NA,NA,NA,NA
My family earns around 1.2 lakh per year. I belong to the SC community and want to start a service business. I need around Rs 272777.,Yes,115730,Business,service business,285667,272777,NA,NA,NA,NA
I want to open a repair shop. I am an SC beneficiary and my yearly family income is ₹425966. I require about 2.0 lakhs.,Yes,425966,Business,repair shop,219488,204201,NA,NA,NA,NA
I am not from Scheduled Caste and want financial assistance for my poultry.,No,344352,Business,poultry,300014,250014,NA,NA,NA,NA
I am an SC student and my family income is Rs 405896. I want to study law. My course fee is Rs 539136 and I need a loan of 539136 rupees.,Yes,405896,Education,NA,539136,539136,12th,law,management,Yes
I am from SC category and want financial help for my tailoring. The total project cost is ₹434421 and I need 4.1 lakhs as loan. My annual income is 4.5 lakhs.,Yes,453990,Business,tailoring,434421,411587,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is 2.0 lakhs and I require 17.6 lakhs.,Yes,201464,Education,NA,1759518,1759518,Postgraduate,engineering,professional,Yes
I am an SC beneficiary. My family income is Rs 388681. I want to start a grocery shop business and need a loan of ₹308455.,Yes,388681,Business,grocery shop,366602,308455,NA,NA,NA,NA
My family earns around 4.8 lakh per year. I belong to the SC community and want to start a repair shop. I need around 95073 rupees.,Yes,481546,Business,repair shop,183121,95073,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small transport. My income is 4.6 lakhs and the project will cost about ₹128732.,Yes,462526,Business,transport,128732,80435,NA,NA,NA,NA
I am an SC beneficiary. My family income is 3.9 lakhs. I want to start a transport business and need a loan of Rs 128889.,Yes,392843,Business,transport,191208,128889,NA,NA,NA,NA
I am not from Scheduled Caste and want financial assistance for my service business.,No,333498,Business,service business,100007,50007,NA,NA,NA,NA
I am from SC category and want financial help for my fisheries. The total project cost is ₹125636 and I need ₹104027 as loan. My annual income is ₹354118.,Yes,354118,Business,fisheries,125636,104027,NA,NA,NA,NA
I am an SC student and my family income is 2.9 lakh. I want to study MBA. My course fee is Rs 3316778 and I need a loan of 17.7 lakhs.,Yes,288021,Education,NA,3316778,1773784,Postgraduate,MBA,professional,Yes
I am not an SC beneficiary. I want to start a small manufacturing and need 123869 rupees.,No,416529,Business,small manufacturing,173869,123869,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹350713. I want to start a transport business and need a loan of 277351 rupees.,Yes,350713,Business,transport,343672,277351,NA,NA,NA,NA
I want to open a transport. I am an SC beneficiary and my yearly family income is 3.3 lakhs. I require about 58309 rupees.,Yes,327129,Business,transport,104316,58309,NA,NA,NA,NA
"I need a loan to study nursing. I am an SC student, my income is ₹497034, and the course fee is 36.1 lakh.",Yes,497034,Education,NA,3611305,2922891,Postgraduate,nursing,management,Yes
I am an SC beneficiary. My family income is 3.5 lakhs. I want to start a grocery shop business and need a loan of 360595 rupees.,Yes,345265,Business,grocery shop,446053,360595,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BCA. My annual family income is 1.5 lakhs and I need around 11.9 lakh.,Yes,154877,Education,NA,2061880,1189117,12th,BCA,medical,Yes
I am an SC beneficiary. My family income is ₹169897. I want to start a grocery shop business and need a loan of 3.3 lakhs.,Yes,169897,Business,grocery shop,393246,326073,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small transport. My income is Rs 352375 and the project will cost about Rs 271426.,Yes,352375,Business,transport,271426,176441,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is 480982 rupees and the project will cost about 2.4 lakhs.,Yes,480982,Business,computer centre,237280,155110,NA,NA,NA,NA
I do not belong to the SC category. My family income is Rs 348220 and I need a loan for a repair shop.,No,348220,Business,repair shop,146292,96292,NA,NA,NA,NA
"I need a loan to study MCA. I am an SC student, my income is ₹94904, and the course fee is 25.7 lakh.",Yes,94904,Education,NA,2568006,2568006,Graduate,MCA,medical,Yes
I belong to the SC category. I want an education loan for medical. My annual family income is Rs 177826 and I need around 18.9 lakhs.,Yes,177826,Education,NA,3058975,1885523,Graduate,medical,medical,Yes
I am an SC student and my family income is 1.4 lakh. I want to study medical. My course fee is 2699471 rupees and I need a loan of Rs 2597451.,Yes,135568,Education,NA,2699471,2597451,Graduate,medical,medical,Yes
My category is not SC. I want to start a computer centre business.,No,129118,Business,computer centre,296847,246847,NA,NA,NA,NA
I am from SC category and want financial help for my computer centre. The total project cost is 1.8 lakhs and I need Rs 92271 as loan. My annual income is 447958 rupees.,Yes,447958,Business,computer centre,178500,92271,NA,NA,NA,NA
I am an SC beneficiary. My family income is 2.1 lakh. I want to start a repair shop business and need a loan of Rs 228987.,Yes,210836,Business,repair shop,310091,228987,NA,NA,NA,NA
My family earns around ₹311033 per year. I belong to the SC community and want to start a fisheries. I need around 62912 rupees.,Yes,311033,Business,fisheries,120481,62912,NA,NA,NA,NA
I do not belong to the SC category. My family income is Rs 451055 and I need a loan for a tailoring.,No,451055,Business,tailoring,119089,69089,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is 2.5 lakhs and I need around 81369 rupees.,Yes,248697,Education,NA,810636,81369,12th,engineering,technical,Yes
"My family earns 278971 rupees per year. I am an SC beneficiary and want to pursue engineering, which is a technical course. The fee is ₹970600.",Yes,278971,Education,NA,970600,970600,12th,engineering,technical,Yes
I belong to the SC category. I want an education loan for BCA. My annual family income is ₹372055 and I need around 14.6 lakh.,Yes,372055,Education,NA,2978929,1463489,Graduate,BCA,technical,Yes
I am an SC beneficiary. My family income is ₹380914. I want to start a grocery shop business and need a loan of Rs 388831.,Yes,380914,Business,grocery shop,454110,388831,NA,NA,NA,NA
I am an SC student and my family income is ₹121745. I want to study BCA. My course fee is ₹3070846 and I need a loan of ₹147829.,Yes,121745,Education,NA,3070846,147829,12th,BCA,professional,Yes
"I need a loan to study pharmacy. I am an SC student, my income is 2.2 lakh, and the course fee is 24.7 lakhs.",Yes,222235,Education,NA,2472446,2472446,12th,pharmacy,management,Yes
I am not from Scheduled Caste and want financial assistance for my tailoring.,No,107268,Business,tailoring,414286,364286,NA,NA,NA,NA
"I need a loan to study nursing. I am an SC student, my income is Rs 168246, and the course fee is 18.2 lakhs.",Yes,168246,Education,NA,1816229,1378383,12th,nursing,technical,Yes
My family earns around 90422 rupees per year. I belong to the SC community and want to start a service business. I need around Rs 138505.,Yes,90422,Business,service business,170284,138505,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small tailoring. My income is 4.3 lakhs and the project will cost about ₹240096.,Yes,433206,Business,tailoring,240096,169193,NA,NA,NA,NA
"My family earns 318561 rupees per year. I am an SC beneficiary and want to pursue MCA, which is a medical course. The fee is 2002077 rupees.",Yes,318561,Education,NA,2002077,2002077,Graduate,MCA,medical,Yes
I am from SC category and want financial help for my fisheries. The total project cost is 2.6 lakh and I need ₹230865 as loan. My annual income is 407294 rupees.,Yes,407294,Business,fisheries,261895,230865,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BTech. My annual family income is 2.2 lakhs and I need around 2.8 lakh.,Yes,216219,Education,NA,1418722,280638,Postgraduate,BTech,professional,Yes
"My family earns 2.1 lakhs per year. I am an SC beneficiary and want to pursue engineering, which is a technical course. The fee is Rs 2568403.",Yes,213550,Education,NA,2568403,2250036,Postgraduate,engineering,technical,Yes
I am from Scheduled Caste and want financial assistance for my law course. My family income is ₹179390 and I require 1179705 rupees.,Yes,179390,Education,NA,2829407,1179705,Graduate,law,technical,Yes
I belong to Scheduled Caste and want to start a small grocery shop. My income is ₹165664 and the project will cost about Rs 114440.,Yes,165664,Business,grocery shop,114440,69640,NA,NA,NA,NA
I am not from Scheduled Caste and want financial assistance for my food business.,No,441108,Business,food business,399746,349746,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is Rs 242876 and I require ₹169837.,Yes,242876,Education,NA,169837,169837,Postgraduate,MCA,technical,Yes
I am an SC student and my family income is ₹429160. I want to study engineering. My course fee is 7.9 lakhs and I need a loan of 7.9 lakh.,Yes,429160,Education,NA,794972,794972,Graduate,engineering,management,Yes
I am from SC category and want financial help for my grocery shop. The total project cost is 228556 rupees and I need 1.4 lakh as loan. My annual income is Rs 317389.,Yes,317389,Business,grocery shop,228556,139726,NA,NA,NA,NA
I am an SC beneficiary. My family income is 127319 rupees. I want to start a repair shop business and need a loan of 1.4 lakh.,Yes,127319,Business,repair shop,163895,142289,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is Rs 284494 and I require Rs 2214041.,Yes,284494,Education,NA,2618356,2214041,12th,BTech,management,Yes
